shift_level,severity_index,variant,cfs,cfs_ci_lo,cfs_ci_hi,monotonicity,specificity,sufficiency,offsheet_energy,offmanifold_residual
clean,0,onmanifold_steer,0.9086,0.8726,0.9439,1.0,0.7985,0.9611,0.2535,0.0
clean,0,naive_steer,0.8112,0.6547,0.9194,1.0,0.6615,0.9121,0.2535,0.6329
imagenet_r,1,onmanifold_steer,0.8905,0.8554,0.9263,1.0,0.7985,0.9057,0.5506,0.0
imagenet_r,1,naive_steer,0.8001,0.6441,0.9034,1.0,0.6615,0.8709,0.5506,0.6329
imagenet_sketch,2,onmanifold_steer,0.8638,0.8271,0.901,1.0,0.7985,0.8305,0.6787,0.0
imagenet_sketch,2,naive_steer,0.7822,0.6297,0.8856,1.0,0.6615,0.8126,0.6787,0.6329
imagenet_c_sev1,3,onmanifold_steer,0.8405,0.8022,0.8797,1.0,0.7985,0.7649,0.7048,0.0
imagenet_c_sev1,3,naive_steer,0.7635,0.6241,0.8757,1.0,0.6615,0.7507,0.7048,0.6329
imagenet_c_sev2,4,onmanifold_steer,0.7626,0.7193,0.806,1.0,0.7985,0.5989,0.8134,0.0
imagenet_c_sev2,4,naive_steer,0.6967,0.5655,0.794,1.0,0.6615,0.5848,0.8134,0.6329
imagenet_c_sev3,5,onmanifold_steer,0.6755,0.6295,0.7225,1.0,0.7985,0.4604,0.8724,0.0
imagenet_c_sev3,5,naive_steer,0.6222,0.5178,0.7091,1.0,0.6615,0.4494,0.8724,0.6329
imagenet_c_sev4,6,onmanifold_steer,0.5813,0.5346,0.6267,1.0,0.7985,0.3463,0.9031,0.0
imagenet_c_sev4,6,naive_steer,0.5393,0.4405,0.6134,1.0,0.6615,0.3375,0.9031,0.6329
imagenet_c_sev5,7,onmanifold_steer,0.4967,0.454,0.5412,1.0,0.7985,0.2657,0.9189,0.0
imagenet_c_sev5,7,naive_steer,0.4646,0.3799,0.5341,1.0,0.6615,0.2594,0.9189,0.6329
objectnet,8,onmanifold_steer,0.5138,0.4718,0.5571,1.0,0.7985,0.2805,0.9195,0.0
objectnet,8,naive_steer,0.4794,0.3832,0.5521,1.0,0.6615,0.2734,0.9195,0.6329
