variant,shift,shift_noise,concept_id,monotonicity,specificity,sufficiency,offmanifold_residual,cfs
supervised_steer,clean,0.0,122,1.0,0.7302,0.5928,0.0199,0.7396
supervised_steer,clean,0.0,160,1.0,0.576,0.5372,0.0449,0.6525
supervised_steer,clean,0.0,152,1.0,0.5071,0.6125,0.0257,0.6515
supervised_steer,clean,0.0,231,1.0,0.6566,0.545,0.0389,0.6884
supervised_steer,clean,0.0,118,1.0,0.576,0.5372,0.0449,0.6525
supervised_steer,clean,0.0,201,1.0,0.7302,0.5928,0.0199,0.7396
supervised_steer,clean,0.0,47,1.0,0.6566,0.545,0.0389,0.6884
supervised_steer,clean,0.0,135,1.0,0.6566,0.545,0.0389,0.6884
supervised_steer,clean,0.0,91,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,136,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,77,1.0,0.576,0.5372,0.0449,0.6525
supervised_steer,clean,0.0,59,1.0,0.5071,0.6125,0.0257,0.6515
supervised_steer,clean,0.0,227,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,79,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,38,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,172,1.0,0.576,0.5372,0.0449,0.6525
supervised_steer,clean,0.0,19,1.0,0.5336,0.652,0.0373,0.6806
supervised_steer,clean,0.0,222,1.0,0.576,0.5372,0.0449,0.6525
supervised_steer,clean,0.0,204,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,179,1.0,0.7302,0.5928,0.0199,0.7396
supervised_steer,clean,0.0,22,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,57,1.0,0.7302,0.5928,0.0199,0.7396
supervised_steer,clean,0.0,139,1.0,0.6354,0.5741,0.0283,0.6952
supervised_steer,clean,0.0,14,1.0,0.576,0.5372,0.0449,0.6525
onmanifold_steer,clean,0.0,122,1.0,0.4673,0.4226,0.0,0.5448
onmanifold_steer,clean,0.0,160,0.0,0.3522,0.3229,0.0,0.0
onmanifold_steer,clean,0.0,152,1.0,0.4768,0.368,0.0,0.5159
onmanifold_steer,clean,0.0,231,1.0,0.512,0.3278,0.0,0.4997
onmanifold_steer,clean,0.0,118,1.0,0.4818,0.3159,0.0,0.4807
onmanifold_steer,clean,0.0,201,0.0,0.5226,0.3431,0.0,0.0
onmanifold_steer,clean,0.0,47,1.0,0.6455,0.3051,0.0,0.5149
onmanifold_steer,clean,0.0,135,1.0,0.532,0.3093,0.0,0.4908
onmanifold_steer,clean,0.0,91,1.0,0.4769,0.3236,0.0,0.4849
onmanifold_steer,clean,0.0,136,1.0,0.5187,0.3185,0.0,0.4944
onmanifold_steer,clean,0.0,77,1.0,0.2666,0.2955,0.0,0.3687
onmanifold_steer,clean,0.0,59,1.0,0.382,0.3337,0.0,0.4536
onmanifold_steer,clean,0.0,227,1.0,0.496,0.3095,0.0,0.4802
onmanifold_steer,clean,0.0,79,0.0,0.4093,0.3114,0.0,0.0
onmanifold_steer,clean,0.0,38,1.0,0.5441,0.314,0.0,0.4982
onmanifold_steer,clean,0.0,172,0.0,0.247,0.2875,0.0,0.0
onmanifold_steer,clean,0.0,19,0.0,0.3494,0.3471,0.0,0.0
onmanifold_steer,clean,0.0,222,1.0,0.5878,0.2746,0.0,0.473
onmanifold_steer,clean,0.0,204,1.0,0.1923,0.3009,0.0,0.315
onmanifold_steer,clean,0.0,179,1.0,0.5462,0.307,0.0,0.4928
onmanifold_steer,clean,0.0,22,1.0,0.5069,0.2979,0.0,0.4739
onmanifold_steer,clean,0.0,57,0.0,0.5142,0.3018,0.0,0.0
onmanifold_steer,clean,0.0,139,0.0,0.4279,0.2913,0.0,0.0
onmanifold_steer,clean,0.0,14,0.0,0.5335,0.2636,0.0,0.0
clamp_steer,clean,0.0,122,1.0,0.4882,0.2878,0.3311,0.46
clamp_steer,clean,0.0,160,0.0,0.4463,0.2163,0.5813,0.0
clamp_steer,clean,0.0,152,1.0,0.4009,0.2383,0.4127,0.3901
clamp_steer,clean,0.0,231,1.0,0.5576,0.2222,0.6556,0.4113
clamp_steer,clean,0.0,118,1.0,0.3873,0.2036,0.47,0.3532
clamp_steer,clean,0.0,201,0.0,0.607,0.2291,0.322,0.0
clamp_steer,clean,0.0,47,1.0,0.6011,0.2038,0.6101,0.3963
clamp_steer,clean,0.0,135,1.0,0.5647,0.2248,0.3951,0.4155
clamp_steer,clean,0.0,91,1.0,0.389,0.2353,0.5106,0.3835
clamp_steer,clean,0.0,136,1.0,0.5142,0.2082,0.2735,0.3872
clamp_steer,clean,0.0,77,1.0,0.1145,0.2027,0.3807,0.2045
clamp_steer,clean,0.0,59,1.0,0.5192,0.2279,0.4003,0.4102
clamp_steer,clean,0.0,227,1.0,0.3083,0.2079,0.4599,0.3314
clamp_steer,clean,0.0,79,0.0,0.5047,0.1902,0.3984,0.0
clamp_steer,clean,0.0,38,1.0,0.4305,0.2048,0.6055,0.3656
clamp_steer,clean,0.0,172,0.0,0.2992,0.1886,0.5213,0.0
clamp_steer,clean,0.0,19,0.0,0.4625,0.2416,0.2999,0.0
clamp_steer,clean,0.0,222,1.0,0.6402,0.201,0.4322,0.398
clamp_steer,clean,0.0,204,1.0,0.3492,0.1925,0.3152,0.3312
clamp_steer,clean,0.0,179,1.0,0.6113,0.2242,0.2742,0.4227
clamp_steer,clean,0.0,22,1.0,0.3968,0.2018,0.3932,0.354
clamp_steer,clean,0.0,57,0.0,0.5909,0.1952,0.4892,0.0
clamp_steer,clean,0.0,139,0.0,0.1709,0.1769,0.4948,0.0
clamp_steer,clean,0.0,14,0.0,0.2905,0.1798,0.6944,0.0
naive_steer,clean,0.0,122,1.0,0.4882,0.4249,0.3311,0.5554
naive_steer,clean,0.0,160,0.0,0.4463,0.3246,0.5813,0.0
naive_steer,clean,0.0,152,1.0,0.4009,0.3684,0.4127,0.4832
naive_steer,clean,0.0,231,1.0,0.5576,0.3278,0.6556,0.5133
naive_steer,clean,0.0,118,1.0,0.3873,0.3139,0.47,0.4432
naive_steer,clean,0.0,201,0.0,0.607,0.3427,0.322,0.0
naive_steer,clean,0.0,47,1.0,0.6011,0.312,0.6101,0.5111
naive_steer,clean,0.0,135,1.0,0.5647,0.3098,0.3951,0.5001
naive_steer,clean,0.0,91,1.0,0.389,0.3252,0.5106,0.4514
naive_steer,clean,0.0,136,1.0,0.5142,0.3204,0.2735,0.4946
naive_steer,clean,0.0,77,1.0,0.1145,0.2938,0.3807,0.2284
naive_steer,clean,0.0,59,1.0,0.5192,0.3328,0.4003,0.5058
naive_steer,clean,0.0,227,1.0,0.3083,0.3109,0.4599,0.4021
naive_steer,clean,0.0,79,0.0,0.5047,0.3104,0.3984,0.0
naive_steer,clean,0.0,38,1.0,0.4305,0.3101,0.6055,0.4581
naive_steer,clean,0.0,172,0.0,0.2992,0.2884,0.5213,0.0
naive_steer,clean,0.0,19,0.0,0.4625,0.349,0.2999,0.0
naive_steer,clean,0.0,222,1.0,0.6402,0.2821,0.4322,0.4913
naive_steer,clean,0.0,204,1.0,0.3492,0.2997,0.3152,0.4166
naive_steer,clean,0.0,179,1.0,0.6113,0.3076,0.2742,0.5096
naive_steer,clean,0.0,22,1.0,0.3968,0.2974,0.3932,0.4359
naive_steer,clean,0.0,57,0.0,0.5909,0.3045,0.4892,0.0
naive_steer,clean,0.0,139,0.0,0.1709,0.293,0.4948,0.0
naive_steer,clean,0.0,14,0.0,0.2905,0.2727,0.6944,0.0
random_steer,clean,0.0,122,1.0,0.0,0.0528,0.8724,0.0
random_steer,clean,0.0,160,0.0,0.0,0.0568,0.8724,0.0
random_steer,clean,0.0,152,0.0,0.0,0.004,0.8724,0.0
random_steer,clean,0.0,231,1.0,0.0,0.0432,0.8724,0.0
random_steer,clean,0.0,118,0.0,0.0,0.0568,0.8724,0.0
random_steer,clean,0.0,201,1.0,0.0,0.0528,0.8724,0.0
random_steer,clean,0.0,47,1.0,0.0,0.0432,0.8724,0.0
random_steer,clean,0.0,135,1.0,0.0,0.0432,0.8724,0.0
random_steer,clean,0.0,91,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,136,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,77,0.0,0.0,0.0568,0.8724,0.0
random_steer,clean,0.0,59,0.0,0.0,0.004,0.8724,0.0
random_steer,clean,0.0,227,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,79,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,38,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,172,0.0,0.0,0.0568,0.8724,0.0
random_steer,clean,0.0,19,1.0,0.0,0.0042,0.8724,0.0
random_steer,clean,0.0,222,0.0,0.0,0.0568,0.8724,0.0
random_steer,clean,0.0,204,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,179,1.0,0.0,0.0528,0.8724,0.0
random_steer,clean,0.0,22,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,57,1.0,0.0,0.0528,0.8724,0.0
random_steer,clean,0.0,139,1.0,0.0,0.0809,0.8724,0.0
random_steer,clean,0.0,14,0.0,0.0,0.0568,0.8724,0.0
supervised_steer,ImgNet-R,0.35,122,1.0,0.7302,0.6065,0.0199,0.7466
supervised_steer,ImgNet-R,0.35,160,1.0,0.576,0.5571,0.0449,0.6621
supervised_steer,ImgNet-R,0.35,152,1.0,0.5071,0.6351,0.0257,0.6599
supervised_steer,ImgNet-R,0.35,231,1.0,0.6566,0.5682,0.0389,0.7004
supervised_steer,ImgNet-R,0.35,118,1.0,0.576,0.5571,0.0449,0.6621
supervised_steer,ImgNet-R,0.35,201,1.0,0.7302,0.6065,0.0199,0.7466
supervised_steer,ImgNet-R,0.35,47,1.0,0.6566,0.5682,0.0389,0.7004
supervised_steer,ImgNet-R,0.35,135,1.0,0.6566,0.5682,0.0389,0.7004
supervised_steer,ImgNet-R,0.35,91,1.0,0.6354,0.6078,0.0283,0.7111
supervised_steer,ImgNet-R,0.35,136,1.0,0.6354,0.6078,0.0283,0.7111
supervised_steer,ImgNet-R,0.35,77,1.0,0.576,0.5571,0.0449,0.6621
supervised_steer,ImgNet-R,0.35,59,1.0,0.5071,0.6351,0.0257,0.6599
supervised_steer,ImgNet-R,0.35,227,1.0,0.6354,0.6078,0.0283,0.7111
supervised_steer,ImgNet-R,0.35,79,1.0,0.6354,0.6078,0.0283,0.7111
supervised_steer,ImgNet-R,0.35,38,1.0,0.6354,0.6078,0.0283,0.7111
supervised_steer,ImgNet-R,0.35,172,1.0,0.576,0.5571,0.0449,0.6621
supervised_steer,ImgNet-R,0.35,19,1.0,0.5336,0.6673,0.0373,0.6861
supervised_steer,ImgNet-R,0.35,222,1.0,0.576,0.5571,0.0449,0.6621
